No;Kurum;Ders Kategorisi;Ders Açıklaması;Ders Konusu;Tarih;Süre;Klasör Adı;Oynatma Linki
16;Türkçe ÖABTdeyiz;2023 Türkçe öabt Eski Edebiyat çıkmış sorular Analizsöz sanatları;Arşiv / Eski Dönem Dersi;2023 Türkçe öabt Eski Edebiyat çıkmış sorular Analizsöz sanatları;13.12.2023 18:56;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1702483018721;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1702483018721
17;Belirsiz / Bilinmeyen Müşteri;Coğrafya Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Coğrafya Konu: ;24.12.2023 15:15;Bilinmiyor;8b3991219a3ad3bdb500da7e0f720cb8f9053054-1703420130484;https://185.86.155.222/playback/presentation/2.3/8b3991219a3ad3bdb500da7e0f720cb8f9053054-1703420130484
18;Belirsiz / Bilinmeyen Müşteri;DİL ÖĞRETİM YÖNTEMLERİ - 5;ID ve Kelime Eşleşmesi Bulunamadı;DİL ÖĞRETİM YÖNTEMLERİ - 5;25.05.2024 20:53;Bilinmiyor;6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716659584469;https://185.86.155.222/playback/presentation/2.3/6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716659584469
19;Türkçe ÖABTdeyiz;2025 - MEVZUAT;;1982 ANAYASASI 9. DERS;24.04.2025 20:52;41 dk;885cd183396123664aae15258f36ab40589223ad-1744307936747;https://185.86.155.222/playback/presentation/2.3/885cd183396123664aae15258f36ab40589223ad-1744307936747
20;Belirsiz / Bilinmeyen Müşteri;Eski Türk Dili 17, Fiilde Çatı-Yapım Ekleri;ID ve Kelime Eşleşmesi Bulunamadı;Eski Türk Dili 17, Fiilde Çatı-Yapım Ekleri;27.12.2022 21:16;Bilinmiyor;2ed54bfd89b6bed34bf2961d898847df6f57142a-1672165010256;https://185.86.155.222/playback/presentation/2.3/2ed54bfd89b6bed34bf2961d898847df6f57142a-1672165010256
21;Türkçe ÖABTdeyiz;2025 ESKİ TÜRK EDEBİYATI;;aruz ve işlemler;29.01.2025 20:38;43 dk;fe534ba2be486200b29eba3998f61d35ede4b765-1732726081464;https://185.86.155.222/playback/presentation/2.3/fe534ba2be486200b29eba3998f61d35ede4b765-1732726081464
22;Belirsiz / Bilinmeyen Müşteri;DÖRT TEMEL BECERİ - 10;ID ve Kelime Eşleşmesi Bulunamadı;DÖRT TEMEL BECERİ - 10;1.08.2024 18:45;Bilinmiyor;569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722527119808;https://185.86.155.222/playback/presentation/2.3/569227d8b1048b533bc9ba0fdd3c7e12e549314e-1722527119808
23;Türkçe ÖABTdeyiz;2025 - MEVZUAT;;1982 ANAYASASI 9. DERS;24.04.2025 20:52;41 dk;885cd183396123664aae15258f36ab40589223ad-1741371932222;https://185.86.155.222/playback/presentation/2.3/885cd183396123664aae15258f36ab40589223ad-1741371932222
24;Belirsiz / Bilinmeyen Müşteri;DİL ÖĞRETİM YÖNTEMLERİ - 4;ID ve Kelime Eşleşmesi Bulunamadı;DİL ÖĞRETİM YÖNTEMLERİ - 4;25.05.2024 19:56;Bilinmiyor;6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716656193973;https://185.86.155.222/playback/presentation/2.3/6d536a6c5a19dabdbbd3d76937f43b4eaceee54c-1716656193973
25;Belirsiz / Bilinmeyen Müşteri;Hüseyin Şimşek Coğrafya ;ID ve Kelime Eşleşmesi Bulunamadı;Hüseyin Şimşek Coğrafya ;1.07.2023 17:54;Bilinmiyor;814200dbd189c00466ee5ba1e9a09813f6d3bccc-1688223246782;https://185.86.155.222/playback/presentation/2.3/814200dbd189c00466ee5ba1e9a09813f6d3bccc-1688223246782
26;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - DİL BİLGİSİ;;4- SES BİLGİSİ;9.03.2025 20:11;44 dk;c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1741540291293;https://185.86.155.222/playback/presentation/2.3/c448cf7c3d21727c59ff7520b1e6d64bb8d26da4-1741540291293
27;Belirsiz / Bilinmeyen Müşteri;21) Cümle Bilgisi (Cümle Türleri);ID ve Kelime Eşleşmesi Bulunamadı;21) Cümle Bilgisi (Cümle Türleri);21.05.2024 20:56;Bilinmiyor;403e7c4599e9a25f7617b1b86e974585ad29418a-1716314166875;https://185.86.155.222/playback/presentation/2.3/403e7c4599e9a25f7617b1b86e974585ad29418a-1716314166875
28;Belirsiz / Bilinmeyen Müşteri;YTE Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;YTE Konu: ;7.03.2024 18:51;Bilinmiyor;837699e58ed5985550a59f16cf6915cc07951087-1709826702819;https://185.86.155.222/playback/presentation/2.3/837699e58ed5985550a59f16cf6915cc07951087-1709826702819
29;Belirsiz / Bilinmeyen Müşteri;Tarih: ;ID ve Kelime Eşleşmesi Bulunamadı;Tarih: ;8.04.2025 18:54;Bilinmiyor;14e38e900477a20df0017cbca28c0ff90cb8a116-1744127658884;https://185.86.155.222/playback/presentation/2.3/14e38e900477a20df0017cbca28c0ff90cb8a116-1744127658884
30;Belirsiz / Bilinmeyen Müşteri;Çocuk Edebiyatı: ;ID ve Kelime Eşleşmesi Bulunamadı;Çocuk Edebiyatı: ;15.05.2024 19:15;Bilinmiyor;3c83e379c581171703c79fa37d8f61d72736e74b-1715789737641;https://185.86.155.222/playback/presentation/2.3/3c83e379c581171703c79fa37d8f61d72736e74b-1715789737641
31;Türkçe ÖABTdeyiz;YİRMİLİ BRANŞ DENEMESİ DÖRT TEMEL BECERİ VE ALAN EĞİTİMİ ÇÖZÜM;;TEMA VE METİN ÖZELLİKLERİ;15.04.2023 17:13;50 dk;85cf7f78d52f24b1855c37e9a252bd190adc9774-1684946482669;https://185.86.155.222/playback/presentation/2.3/85cf7f78d52f24b1855c37e9a252bd190adc9774-1684946482669
32;Belirsiz / Bilinmeyen Müşteri;TYT Din Kültürü: ;ID ve Kelime Eşleşmesi Bulunamadı;TYT Din Kültürü: ;8.02.2024 18:55;Bilinmiyor;069ace2a95e361bba202fb4dc518b186d25cf573-1707407713536;https://185.86.155.222/playback/presentation/2.3/069ace2a95e361bba202fb4dc518b186d25cf573-1707407713536
33;Belirsiz / Bilinmeyen Müşteri;Paragraf : Paragrafta Anlam;ID ve Kelime Eşleşmesi Bulunamadı;Paragraf : Paragrafta Anlam;18.02.2024 19:21;Bilinmiyor;a9cb207371a459e06a8c8ff7edf8adfbbc37198b-1708273279895;https://185.86.155.222/playback/presentation/2.3/a9cb207371a459e06a8c8ff7edf8adfbbc37198b-1708273279895
34;Belirsiz / Bilinmeyen Müşteri;YAZILI ANLATIM UNSURLARI;ID ve Kelime Eşleşmesi Bulunamadı;YAZILI ANLATIM UNSURLARI;25.02.2024 19:56;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1708880191689;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1708880191689
35;Belirsiz / Bilinmeyen Müşteri;halk edebiyatı tür ve şekil;ID ve Kelime Eşleşmesi Bulunamadı;halk edebiyatı tür ve şekil;30.12.2023 20:42;Bilinmiyor;d39446f272688d5e772f0ac8214efd6620555449-1703958171076;https://185.86.155.222/playback/presentation/2.3/d39446f272688d5e772f0ac8214efd6620555449-1703958171076
36;Belirsiz / Bilinmeyen Müşteri;OKUMA EĞİTİMİ GENEL SORU ÇÖZÜMÜ;ID ve Kelime Eşleşmesi Bulunamadı;OKUMA EĞİTİMİ GENEL SORU ÇÖZÜMÜ;10.02.2024 20:54;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1707587676254;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1707587676254
37;Türkçe ÖABTdeyiz;.2026 DÜNYA EDEBİYATI;;fransız 6;30.11.2025 18:46;45 dk;35055dac95adb3f6c0c8afe1593ea9f87912dc72-1767546401616;https://185.86.155.222/playback/presentation/2.3/35055dac95adb3f6c0c8afe1593ea9f87912dc72-1767546401616
38;Belirsiz / Bilinmeyen Müşteri;Çocuk Edebiyatı: ;ID ve Kelime Eşleşmesi Bulunamadı;Çocuk Edebiyatı: ;24.04.2024 19:15;Bilinmiyor;cb645d5bf14f9040d40180a383ab7ccd3720eaa6-1713975343384;https://185.86.155.222/playback/presentation/2.3/cb645d5bf14f9040d40180a383ab7ccd3720eaa6-1713975343384
39;Türkçe ÖABTdeyiz;Türkçe Konu: Noktalama İşaretleri;Arşiv / Eski Dönem Dersi;Türkçe Konu: Noktalama İşaretleri;25.10.2023 20:22;Bilinmiyor;33282721e41f2d73ae0d1b4dabc4cc3b1644b4f9-1698254570128;https://185.86.155.222/playback/presentation/2.3/33282721e41f2d73ae0d1b4dabc4cc3b1644b4f9-1698254570128
40;Türkçe ÖABTdeyiz;.2026 ESKİ TÜRK EDEBİYATI;;Aruz Bilgisi-2;4.12.2025 19:44;43 dk;d5a49c3ab0991a06073f0f2931a2fc49ad269629-1761845844118;https://185.86.155.222/playback/presentation/2.3/d5a49c3ab0991a06073f0f2931a2fc49ad269629-1761845844118
41;Belirsiz / Bilinmeyen Müşteri;2024 Haziran EB Öğrenme ;ID ve Kelime Eşleşmesi Bulunamadı;2024 Haziran EB Öğrenme ;5.07.2024 13:59;Bilinmiyor;d6ed44612cb079f49d9fdb97fdccb29f6dca7986-1720177186467;https://185.86.155.222/playback/presentation/2.3/d6ed44612cb079f49d9fdb97fdccb29f6dca7986-1720177186467
42;Belirsiz / Bilinmeyen Müşteri;MİLLİ EDEBİYAT DÖNEMİ-2;ID ve Kelime Eşleşmesi Bulunamadı;MİLLİ EDEBİYAT DÖNEMİ-2;7.01.2025 20:52;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1736272376512;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1736272376512
43;Türkçe ÖABTdeyiz;BEYİT ŞERHLERİ;;şerh 9;12.05.2024 18:56;44 dk;bf34a30375919b679162e745b11e71cb60b00db8-1714925448870;https://185.86.155.222/playback/presentation/2.3/bf34a30375919b679162e745b11e71cb60b00db8-1714925448870
44;Belirsiz / Bilinmeyen Müşteri;DİNLEME ÖĞRETİMİ AMAÇLARI;ID ve Kelime Eşleşmesi Bulunamadı;DİNLEME ÖĞRETİMİ AMAÇLARI;4.11.2023 20:57;Bilinmiyor;0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699120638546;https://185.86.155.222/playback/presentation/2.3/0b39fa7964b7e6a1c4d6189b8ce131b2a4f28d79-1699120638546
45;Türkçe ÖABTdeyiz;.2026 DÜNYA EDEBİYATI;;fransız 6;30.11.2025 18:46;45 dk;35055dac95adb3f6c0c8afe1593ea9f87912dc72-1767542007380;https://185.86.155.222/playback/presentation/2.3/35055dac95adb3f6c0c8afe1593ea9f87912dc72-1767542007380
46;Belirsiz / Bilinmeyen Müşteri;İnkılap Tarihi Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;İnkılap Tarihi Konu: ;11.03.2024 20:35;Bilinmiyor;257b8486470c6884f0398c39a6e5efed9426676c-1710178559290;https://185.86.155.222/playback/presentation/2.3/257b8486470c6884f0398c39a6e5efed9426676c-1710178559290
47;Türkçe ÖABTdeyiz;2025 ESKİ TÜRK EDEBİYATI;;aruz ve işlemler;29.01.2025 20:38;43 dk;fe534ba2be486200b29eba3998f61d35ede4b765-1740591494537;https://185.86.155.222/playback/presentation/2.3/fe534ba2be486200b29eba3998f61d35ede4b765-1740591494537
48;Belirsiz / Bilinmeyen Müşteri;2025 Coğrafya son ders ;ID ve Kelime Eşleşmesi Bulunamadı;2025 Coğrafya son ders ;10.05.2025 20:14;Bilinmiyor;d44903671de8d1334d8ad17ab92feffe4927e2ea-1746897265986;https://185.86.155.222/playback/presentation/2.3/d44903671de8d1334d8ad17ab92feffe4927e2ea-1746897265986
49;Belirsiz / Bilinmeyen Müşteri;SERVETİFÜNUN EDEBİYATI-9;ID ve Kelime Eşleşmesi Bulunamadı;SERVETİFÜNUN EDEBİYATI-9;26.12.2023 18:55;Bilinmiyor;dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1703606141299;https://185.86.155.222/playback/presentation/2.3/dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1703606141299
50;Belirsiz / Bilinmeyen Müşteri;YENİ TÜRK EDEBİYATININ OLUŞUMU-2;ID ve Kelime Eşleşmesi Bulunamadı;YENİ TÜRK EDEBİYATININ OLUŞUMU-2;31.10.2023 19:49;Bilinmiyor;dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1698770964813;https://185.86.155.222/playback/presentation/2.3/dfb704ca01640e7fc6de2cdfecda7b07b97c9dea-1698770964813
51;Belirsiz / Bilinmeyen Müşteri;Ara Soru Çözüm -4;ID ve Kelime Eşleşmesi Bulunamadı;Ara Soru Çözüm -4;4.02.2025 19:48;Bilinmiyor;299cbd7fac79e094a9bc3b87c31b8813983b41dd-1738687692454;https://185.86.155.222/playback/presentation/2.3/299cbd7fac79e094a9bc3b87c31b8813983b41dd-1738687692454
52;Türkçe ÖABTdeyiz;SORU ÇÖZÜMÜ - YENİ TÜRK EDEBİYATI;;SORU ÇÖZÜMÜ- 4;6.05.2025 18:57;47 dk;4b39fd288dc2700c79d58ee85b39fd914c7ff7ef-1747151858422;https://185.86.155.222/playback/presentation/2.3/4b39fd288dc2700c79d58ee85b39fd914c7ff7ef-1747151858422
53;Türkçe ÖABTdeyiz;2025 - MEVZUAT;;1982 ANAYASASI 9. DERS;24.04.2025 20:52;41 dk;885cd183396123664aae15258f36ab40589223ad-1746723438558;https://185.86.155.222/playback/presentation/2.3/885cd183396123664aae15258f36ab40589223ad-1746723438558
54;Belirsiz / Bilinmeyen Müşteri;YTE Konu: GARİP, MAVİCİLER, METAFİZİK VB.;ID ve Kelime Eşleşmesi Bulunamadı;YTE Konu: GARİP, MAVİCİLER, METAFİZİK VB.;10.02.2024 18:45;Bilinmiyor;270f60d54582aff392d4aded1fb576a12747a0bf-1707579925214;https://185.86.155.222/playback/presentation/2.3/270f60d54582aff392d4aded1fb576a12747a0bf-1707579925214
55;Belirsiz / Bilinmeyen Müşteri;TYT Din Kültürü: ;ID ve Kelime Eşleşmesi Bulunamadı;TYT Din Kültürü: ;15.02.2024 18:57;Bilinmiyor;1f7cd668ce7e4c273aaaba01d509ba908a565dee-1708012639980;https://185.86.155.222/playback/presentation/2.3/1f7cd668ce7e4c273aaaba01d509ba908a565dee-1708012639980
56;Belirsiz / Bilinmeyen Müşteri;geleneksel halk tiyatrosu;ID ve Kelime Eşleşmesi Bulunamadı;geleneksel halk tiyatrosu;29.02.2024 19:52;Bilinmiyor;d39446f272688d5e772f0ac8214efd6620555449-1709225561921;https://185.86.155.222/playback/presentation/2.3/d39446f272688d5e772f0ac8214efd6620555449-1709225561921
57;Belirsiz / Bilinmeyen Müşteri;İnkılap Tarihi Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;İnkılap Tarihi Konu: ;12.02.2024 20:37;Bilinmiyor;ca2631f21e223d6f571776d7f85e6f0169fab9d4-1707759451083;https://185.86.155.222/playback/presentation/2.3/ca2631f21e223d6f571776d7f85e6f0169fab9d4-1707759451083
58;Belirsiz / Bilinmeyen Müşteri;YKS konu: ;ID ve Kelime Eşleşmesi Bulunamadı;YKS konu: ;18.04.2024 18:48;Bilinmiyor;d52009013d58587cadaa98e1959823026d7bdebe-1713455337937;https://185.86.155.222/playback/presentation/2.3/d52009013d58587cadaa98e1959823026d7bdebe-1713455337937
59;Belirsiz / Bilinmeyen Müşteri;Halk Edebiyatı Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;Halk Edebiyatı Konu: ;15.03.2024 20:23;Bilinmiyor;0fa403f748d27fb79fb177495db35d31a4ffeb4b-1710523436816;https://185.86.155.222/playback/presentation/2.3/0fa403f748d27fb79fb177495db35d31a4ffeb4b-1710523436816
60;Belirsiz / Bilinmeyen Müşteri;şair yazar eserler;ID ve Kelime Eşleşmesi Bulunamadı;şair yazar eserler;6.03.2024 19:51;Bilinmiyor;58fee96126fbde0c4f5e3c147df457ad979a56d4-1709743918327;https://185.86.155.222/playback/presentation/2.3/58fee96126fbde0c4f5e3c147df457ad979a56d4-1709743918327
61;Türkçe ÖABTdeyiz;Türkçe 5 konu: (Ses Bilgisi);Arşiv / Eski Dönem Dersi;Türkçe 5 konu: (Ses Bilgisi);2.10.2023 20:31;Bilinmiyor;d50f126aa772d972d939cb66d01bd09436ed608f-1696267880130;https://185.86.155.222/playback/presentation/2.3/d50f126aa772d972d939cb66d01bd09436ed608f-1696267880130
62;Belirsiz / Bilinmeyen Müşteri;TYT Biyoloji Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;TYT Biyoloji Konu: ;21.10.2023 09:56;Bilinmiyor;6e219a378f2692168f29455686a30cd96c81ac37-1697871408480;https://185.86.155.222/playback/presentation/2.3/6e219a378f2692168f29455686a30cd96c81ac37-1697871408480
63;Belirsiz / Bilinmeyen Müşteri;Dil Bilimi;ID ve Kelime Eşleşmesi Bulunamadı;Dil Bilimi;12.06.2024 18:58;Bilinmiyor;0438f1d3d07af958ccc238046a7dfc607cfd7812-1718207937760;https://185.86.155.222/playback/presentation/2.3/0438f1d3d07af958ccc238046a7dfc607cfd7812-1718207937760
64;Belirsiz / Bilinmeyen Müşteri;AYT Kimya Konu: ;ID ve Kelime Eşleşmesi Bulunamadı;AYT Kimya Konu: ;6.03.2024 19:13;Bilinmiyor;5b228d99ee410433393d6de8e014d0c350970347-1709741604726;https://185.86.155.222/playback/presentation/2.3/5b228d99ee410433393d6de8e014d0c350970347-1709741604726
65;Belirsiz / Bilinmeyen Müşteri;4 Temel Beceri: ;ID ve Kelime Eşleşmesi Bulunamadı;4 Temel Beceri: ;27.02.2024 20:31;Bilinmiyor;bd5840faac58814ccbb7bb2b5f1092329c3c2cd7-1709055064337;https://185.86.155.222/playback/presentation/2.3/bd5840faac58814ccbb7bb2b5f1092329c3c2cd7-1709055064337
66;Belirsiz / Bilinmeyen Müşteri;Maarif model 7;ID ve Kelime Eşleşmesi Bulunamadı;Maarif model 7;13.05.2025 20:01;Bilinmiyor;7d10f586abac7ef1d2d94940896f2d39e1bd590e-1747155682274;https://185.86.155.222/playback/presentation/2.3/7d10f586abac7ef1d2d94940896f2d39e1bd590e-1747155682274
67;Türkçe ÖABTdeyiz;TYT Türkçe Konu: Sözcük Türleri Zamirler;Arşiv / Eski Dönem Dersi;TYT Türkçe Konu: Sözcük Türleri Zamirler;1.11.2023 20:30;Bilinmiyor;d07fe84bbed5708370112dd60100b421c75bdefc-1698859859480;https://185.86.155.222/playback/presentation/2.3/d07fe84bbed5708370112dd60100b421c75bdefc-1698859859480
68;Belirsiz / Bilinmeyen Müşteri;4. DENEME (ALAN EĞİTİMİ);ID ve Kelime Eşleşmesi Bulunamadı;4. DENEME (ALAN EĞİTİMİ);12.05.2024 22:24;Bilinmiyor;15a2ee8b633f754e598185dfa9a9fcf803a820c1-1715541852397;https://185.86.155.222/playback/presentation/2.3/15a2ee8b633f754e598185dfa9a9fcf803a820c1-1715541852397
69;Türkçe ÖABTdeyiz;.2026 ONLİNE DENEME ÇÖZÜMLERİ;;10. DENEME DİLBİLİM DİLBİLGİSİ EDEBİYAT ÇÖZÜM;1.07.2025 23:08;38 dk;3af846574fd50b2f85a88fec4e1df1aa4af0361e-1772673759722;https://185.86.155.222/playback/presentation/2.3/3af846574fd50b2f85a88fec4e1df1aa4af0361e-1772673759722
70;Türkçe ÖABTdeyiz;.2026 DİL BİLİM;;Gösterge Bilimi (Semiyotik) - 3 BELKİ Metin Bilimine de gireriz. :));29.03.2026 19:48;39 dk;63f2e14f54fa66ec3aceda1ecb023cfc40028865-1776015526368;https://185.86.155.222/playback/presentation/2.3/63f2e14f54fa66ec3aceda1ecb023cfc40028865-1776015526368
71;Türkçe ÖABTdeyiz;2025 ESKİ TÜRK EDEBİYATI;;aruz ve işlemler;29.01.2025 20:38;43 dk;fe534ba2be486200b29eba3998f61d35ede4b765-1733935554667;https://185.86.155.222/playback/presentation/2.3/fe534ba2be486200b29eba3998f61d35ede4b765-1733935554667
72;Belirsiz / Bilinmeyen Müşteri;Eğitim Temelleri;ID ve Kelime Eşleşmesi Bulunamadı;Eğitim Temelleri;23.02.2025 17:56;Bilinmiyor;048d630512c740c713b316735610912497e42716-1740322566377;https://185.86.155.222/playback/presentation/2.3/048d630512c740c713b316735610912497e42716-1740322566377
73;Belirsiz / Bilinmeyen Müşteri;Rus ve diğer ederbiyatlar;ID ve Kelime Eşleşmesi Bulunamadı;Rus ve diğer ederbiyatlar;10.05.2024 19:44;Bilinmiyor;6debbf1ac3f8c0ba6c516f4699204a07a3c8bd65-1715359472924;https://185.86.155.222/playback/presentation/2.3/6debbf1ac3f8c0ba6c516f4699204a07a3c8bd65-1715359472924
74;Türkçe ÖABTdeyiz;Türkçe Konu: Cümle Türleri;Arşiv / Eski Dönem Dersi;Türkçe Konu: Cümle Türleri;7.02.2024 20:26;Bilinmiyor;0758edff050eae089f3858309ffac58365890849-1707326812718;https://185.86.155.222/playback/presentation/2.3/0758edff050eae089f3858309ffac58365890849-1707326812718
75;Belirsiz / Bilinmeyen Müşteri;Temel Matematik: ;ID ve Kelime Eşleşmesi Bulunamadı;Temel Matematik: ;25.02.2024 21:01;Bilinmiyor;612657214c796c7cb1244441b9b9cd106b1f600e-1708884103567;https://185.86.155.222/playback/presentation/2.3/612657214c796c7cb1244441b9b9cd106b1f600e-1708884103567
